,H2AZ,H3K4me2,H3K9me1,H3K9me3,H3K36me3,H4K20me1,H3K4ac,H3K9ac,H3K18ac,H3K27ac,H3K36ac,H4K5ac,H4K8ac,H4K12ac,H4K16ac,H4K91ac,H2AK9ac,H2BK5ac
H2BK5me1_H4K20me1,0.0342630897998645,,,,,,,,,,,,,,,,,
H3K9me3_H4K20me3,,0.0064848089555944,0.0147336276120269,,,,,,,,,,,,,,,
H3K79me3_H4K20me3,,,,0.0103619954250717,,,,,,,,,,,,,,
H4K20me1_H4K8ac,0.0065364253360566,,,,,,,,,,,,,,,,,
H4K20me3_H3K4ac,,,,0.0003998689455348,,,,,,,,,,,,,,
H4K20me3_H3K18ac,,,,0.0026065856532424,,,,,,,,,,,,,,
H4K20me3_H3K27ac,,,,0.0047606577579051,,,,,,,,,,,,,,
H4K20me3_H4K91ac,,,,0.0011396860309549,,,,,,,,,,,,,,
H4K20me3_H2BK120ac,,,,0.0016590016738167,,,,,,,,,,,,,,
H3K9ac_H3K18ac,,,,,,,0.0538108214173771,,,,,,,,,,,
H3K9ac_H3K27ac,,,,,,,0.0345776506727393,,,,,,,,,,,
H3K9ac_H3K36ac,,,,,,,0.0353970070895943,,,,,,,,,,,
H3K9ac_H2AK9ac,,,,,,,0.0040407454937003,,,,,,,,,,,
H3K9ac_H2BK5ac,,,,,,,0.0755113124583903,,,,,,,,,,,
H3K9ac_H2BK20ac,,,,,,,0.0070148489761461,,,,,,,,,,,
H3K9ac_H2BK120ac,,,,,,,0.0624883687924278,,,,,,,,,,,
H3K18ac_H3K27ac,,,,,,,0.1544641756123503,0.0906503563966989,,,,,,,,,,
H3K18ac_H3K36ac,,,,,,,0.1684700146195101,0.0389718212682055,,,,,,,,,,
H3K18ac_H4K5ac,,,,,,,0.0686198035983434,,,,,,,,,,,
H3K18ac_H4K8ac,,,,,,,0.0212816597407101,,,,,,,,,,,
H3K18ac_H4K16ac,,,,,,,0.0240812816641149,,,,,,,,,,,
H3K18ac_H4K91ac,,,,,,,0.181331115479681,,,,,,,,,,,
H3K18ac_H2AK9ac,,,,,,,0.0123321168849255,,,,,,,,,,,
H3K18ac_H2BK5ac,,,,,,,0.1627170824931259,0.0927918223835746,,,,,,,,,,
H3K18ac_H2BK12ac,,,,,,,0.1405816010878844,,,,,,,,,,,
H3K18ac_H2BK120ac,,,,,,,,0.075468860141294,,,,,,,,,,
H3K27ac_H3K36ac,,,,,,,0.0914701422833896,0.040095349316191,0.1186655131521412,,,,,,,,,
H3K27ac_H4K5ac,,,,,,,0.0232378025448891,,0.063862459740573,,,,,,,,,
H3K27ac_H4K8ac,,,,,,,,,0.0401848643680029,,,,,,,,,
H3K27ac_H4K12ac,,,,,,,0.0848014539079393,,0.0828727877977701,,,,,,,,,
H3K27ac_H4K91ac,,,,,,,0.0328342049741827,,,,,,,,,,,
H3K27ac_H2BK5ac,,,,,,,0.1722823592988405,0.1775768128537809,,,,,,,,,,
H3K27ac_H2BK12ac,,,,,,,0.0695136386913386,,0.0692682350560858,,,,,,,,,
H3K27ac_H2BK20ac,,,,,,,0.0948907710958852,,0.0979347460512993,,,,,,,,,
H3K27ac_H2BK120ac,,,,,,,0.1550930661491243,0.0697048937096038,0.1980331060320939,,,,,,,,,
H3K36ac_H4K5ac,,,,,,,0.0534559651161146,,0.0697692652776069,0.032642414477765,,,,,,,,
H3K36ac_H4K8ac,,,,,,,0.0073581230613974,,0.0253094826532009,,,,,,,,,
H3K36ac_H4K12ac,,,,,,,0.1617320335114538,,0.1358855320494836,0.0438251396595479,,,,,,,,
H3K36ac_H4K16ac,,,,,,,0.0101972194739978,,,,,,,,,,,
H3K36ac_H4K91ac,,,,,,,0.1358832874512021,,0.0734983092589018,,,,,,,,,
H3K36ac_H2AK9ac,,,,,,,0.0113615877692989,,,,,,,,,,,
H3K36ac_H2BK5ac,,,,,,,0.1183787207715809,0.0665217770199504,0.117026825465178,0.140461846552176,,,,,,,,
H3K36ac_H2BK12ac,,,,,,,0.1440616487830155,0.0052687792376477,0.1240065334181554,0.0711588500680484,,,,,,,,
H3K36ac_H2BK20ac,,,,,,,0.171620109548181,,0.1512868360183716,0.0528558642254992,,,,,,,,
H3K36ac_H2BK120ac,,,,,,,,0.0562973627400804,,0.125739218132292,,,,,,,,
H4K5ac_H4K8ac,,,,,,0.0051476594374904,0.0173658524758018,,0.0749530250618448,0.0580406028372131,0.0453750174188893,,,,,,,
H4K5ac_H4K12ac,,,,,,,0.0659358905226383,,0.0600624791332293,,0.0527668598156942,,,,,,,
H4K5ac_H4K91ac,,,,,,,0.0157111201117388,,,,,,,,,,,
H4K5ac_H2BK5ac,,,,,,,0.049216412031571,,0.0605148534740394,0.0891341161009471,0.046396899671155,,,,,,,
H4K5ac_H2BK12ac,,,,,,,0.0574031914462658,,0.0544782099926539,0.024006324538039,0.0748184212808009,,,,,,,
H4K5ac_H2BK20ac,,,,,,,0.0645384324366578,,0.0594699924892321,,0.0507611900505864,,,,,,,
H4K5ac_H2BK120ac,,,,,,,0.0848058296720744,,0.1012154571754049,0.0504135261434335,0.0891388578414975,,,,,,,
H4K8ac_H4K12ac,,,,,,,0.0068043113509741,,0.0099230924854083,,,0.0372466151229105,,,,,,
H4K8ac_H2BK5ac,,,,,,,0.0126826866416713,,0.0301100978014421,0.0552769728848847,0.0080029416349027,0.0411356745720965,,,,,,
H4K8ac_H2BK12ac,,,,,,,,,,,0.0111031415808877,0.0270600359691837,,,,,,
H4K8ac_H2BK20ac,,,,,,,0.0039401011664121,,0.0031236781828702,,,0.0167098154428533,,,,,,
H4K8ac_H2BK120ac,,,,,,,0.0227015190845278,,0.04631648274216,0.0042550942081245,0.0267131420405739,0.0542832456831412,,,,,,
H4K12ac_H4K16ac,,,,,,,0.0245277347752264,,,,,,,,,,,
H4K12ac_H4K91ac,,,,,,,0.183589065637701,,0.080745389874572,,0.071069400493732,,,,,,,
H4K12ac_H2AK9ac,,,,,,,0.0065010413406039,,,,,,,,,,,
H4K12ac_H2BK5ac,,,,,,,0.1356526547720573,,0.1121691134585951,0.1131929636206532,0.0867731544439252,0.0364550927730231,,,,,,
H4K12ac_H2BK12ac,,,,,,,0.1789354375259453,,0.1276440564862948,0.0444433236829997,0.1529760675252358,0.068938129278754,0.0005109804708549,,,,,
H4K12ac_H2BK20ac,0.0157637729892883,,,0.0057134574494419,0.0014539908278479,0.0234632608624725,,0.13697674179536,,,,,0.1449793331802134,,,,,
H4K12ac_H2BK120ac,,,,,,,,,,0.0943860474375508,0.1860989844230758,0.0849902247889637,0.0159909344133097,,,,,
H4K16ac_H4K91ac,,,,,,,0.0438441601062962,,,,,,,,,,,
H4K16ac_H2AK9ac,,,,,,,0.0080641654161084,,,,,,,,,,,
H4K16ac_H2BK5ac,,,,,,,0.0234290832779677,,,0.0052292508866784,,,,,,,,
H4K16ac_H2BK12ac,,,,,,,0.0089115259113174,,,,,,,,,,,
H4K16ac_H2BK20ac,,,,,,,0.0223633125521729,,,,,,,0.0987117025822055,,,,
H4K16ac_H2BK120ac,,,,,,,0.0483449134120093,,0.0080332034308074,,0.0020854609643521,,,0.0055590728180785,,,,
H4K91ac_H2AK9ac,,,,,,,0.0381102983816337,,,,,,,,0.0082140571649649,,,
H4K91ac_H2BK5ac,,,,,,,0.1235877014055688,,0.0638230254409695,0.0402421480963735,0.0446989959994805,,,0.0413314808953355,,,,
H4K91ac_H2BK12ac,,,,,,,0.128454834529677,,0.049113697735736,,0.071344788252043,,,0.0883997825367117,,,,
H4K91ac_H2BK20ac,,,,,,,,,0.1166152123853709,,0.0948874958530723,,,,,,,
H4K91ac_H2BK120ac,,,,,,,,,0.1586524630869519,0.0001274340146917,0.1203285634161233,,,0.1503188688154306,,,,
H2AK5ac_H2BK20ac,,,,,,,,,,,,,,0.0411649941897902,,,,
H2AK9ac_H2BK5ac,,,,,,,0.0157322075033636,0.0113086987807236,,0.0163142876851445,,,,,,0.0052587117540756,,
H2AK9ac_H2BK12ac,,,,,,,0.0029582881212117,,,,,,,,,,,
H2AK9ac_H2BK20ac,,,,,,,0.0092126029375343,,,,,,,0.0618493608552341,,,,
H2AK9ac_H2BK120ac,,,,,,,0.0255341017664871,,,,0.003573604645819,,,,,0.0040410165236224,,
H2BK5ac_H2BK12ac,,,,,,,0.1056220439492126,0.0194719726804688,0.0867403639285075,0.1080025782299411,0.0946396643695663,0.0428761727687856,,0.0948159719312453,,0.0331982102650805,,
H2BK5ac_H2BK20ac,,,,,,,0.13974100444395,0.0128977037863187,0.1201491847216384,0.1182660835836433,0.0916050284769216,0.0318201692385908,,,,0.060695236272954,,
H2BK5ac_H2BK120ac,,,,,,,0.1960914856216131,0.1035861359215637,0.1949017255709986,,0.1510089232801643,0.0773165943453904,0.0281736521711142,0.15147683009938,0.0153229363912696,0.1046755842226652,0.0097666801341382,
H2BK12ac_H2BK20ac,,,,,,,0.1915701996082592,,0.1455328183682525,0.0560392646968992,0.1626883191783363,0.0717279958834744,0.0011794568496483,,,0.1144029027180781,,0.1022437502307731
H2BK12ac_H2BK120ac,,,,,,,0.197381370276485,,0.1660862480742793,0.0884786525796261,0.1841395716178482,0.088249421514682,0.0087322564946497,,0.0008416323668622,0.1090543768478546,0.0010122988085186,0.129861784386291
H2BK20ac_H2BK120ac,,,,,,,,,,0.1051247075664498,,0.0844113927718925,0.0107658819138158,,0.0058889751338089,0.1888190347030125,,0.1588225612879696
