,H4K12ac_H3K4ac,H4K12ac_H3K23ac,H4K12ac_H3K14ac,H4K12ac_H2AK5ac,H4K12ac_H3K18ac,H4K12ac_H3K9ac,H4K12ac_H3K56ac,H4K12ac_H3K27ac,H4K12ac_H3K4me3,H4K12ac_H3K4me2,H4K12ac_Htz1,H4K12ac_H3K79me3,H4K12ac_H3K36me3,H4K12ac_H4R3me2s,H4K12ac_H4R3me,H4K8ac_H3K4ac,H4K8ac_H3K23ac,H4K8ac_H3K14ac,H4K8ac_H2AK5ac,H4K8ac_H3K18ac,H4K8ac_H3K9ac,H4K8ac_H3K56ac,H4K8ac_H3K27ac,H4K8ac_H3K4me3,H4K8ac_H3K4me2,H4K8ac_Htz1,H4K8ac_H3K79me,H4K8ac_H3K79me3,H4K8ac_H3K36me3,H4K8ac_H4R3me2s,H4K8ac_H4R3me,H3K4ac_H3K23ac,H3K4ac_H3K14ac,H3K4ac_H2AK5ac,H3K4ac_H3K18ac,H3K4ac_H3K9ac,H3K4ac_H3K56ac,H3K4ac_H3K27ac,H3K4ac_Htz1,H3K4ac_H4R3me2s,H3K4ac_H4R3me,H3K23ac_H3K14ac,H3K23ac_H2AK5ac,H3K23ac_H3K18ac,H3K23ac_H3K9ac,H3K23ac_H3K56ac,H3K23ac_H3K27ac,H3K23ac_H3K4me3,H3K23ac_H3K4me2,H3K23ac_Htz1,H3K23ac_H4K20me,H3K23ac_H3K36me2,H3K23ac_H3K36me3,H3K23ac_H4R3me2s,H3K23ac_H4R3me,H3K14ac_H2AK5ac,H3K14ac_H3K18ac,H3K14ac_H3K9ac,H3K14ac_H3K56ac,H3K14ac_H3K27ac,H3K14ac_H3K4me3,H3K14ac_H3K4me2,H3K14ac_Htz1,H3K14ac_H3K4me,H3K14ac_H4K20me,H3K14ac_H3K36me2,H3K14ac_H3K36me3,H3K14ac_H4R3me2s,H3K14ac_H4R3me,H2AK5ac_H3K18ac,H2AK5ac_H3K9ac,H2AK5ac_H3K56ac,H2AK5ac_H3K27ac,H2AK5ac_H3K4me3,H2AK5ac_H3K4me2,H2AK5ac_Htz1,H2AK5ac_H4K20me,H2AK5ac_H3K79me3,H2AK5ac_H3K36me3,H2AK5ac_H4R3me2s,H2AK5ac_H4R3me,H3K18ac_H3K9ac,H3K18ac_H3K56ac,H3K18ac_H3K27ac,H3K18ac_H3K4me3,H3K18ac_H3K4me2,H3K18ac_Htz1,H3K18ac_H3K4me,H3K18ac_H4K20me,H3K18ac_H3K36me2,H3K18ac_H4R3me2s,H3K18ac_H4R3me,H3K9ac_H3K56ac,H3K9ac_H3K27ac,H3K9ac_H3K4me3,H3K9ac_Htz1,H3K9ac_H4K20me,H3K9ac_H3K79me3,H3K9ac_H3K36me3,H3K9ac_H4R3me2s,H3K9ac_H4R3me,H3K56ac_H3K27ac,H3K56ac_H3K4me3,H3K56ac_H3K4me2,H3K56ac_Htz1,H3K56ac_H3K79me,H3K56ac_H3K4me,H3K56ac_H4K20me,H3K56ac_H3K36me,H3K56ac_H3K36me2,H3K56ac_H4K16ac,H3K56ac_H3K79me3,H3K56ac_H3K36me3,H3K56ac_H4R3me2s,H3K56ac_H4R3me,H3K27ac_H3K4me3,H3K27ac_H3K4me2,H3K27ac_Htz1,H3K27ac_H3K79me,H3K27ac_H4R3me2s,H3K4me3_H3K4me2,Htz1_H3K36me3,Htz1_H4R3me2s,Htz1_H4R3me,H3K4me_H4K20me,H4K20me_H3K36me2,H4K20me_H4K16ac,H4K20me_H3K79me3,H4K20me_H3K36me3,H4K20me_H4R3me2s,H4K20me_H4R3me,H3K36me_H3K36me2,H3K36me_H4K16ac,H3K36me2_H4K16ac,H4K16ac_H4R3me2s,H3K79me3_H3K36me3,H3K79me3_H4R3me2s,H3K79me3_H4R3me,H3K36me3_H4R3me2s,H3K36me3_H4R3me,H4R3me2s_H4R3me
H4K5ac,0.2425409146095098,0.2619037272927684,0.2526117275749477,0.43483660914859,0.1812701561811103,0.127532098369226,0.1547306675931281,0.1396321116675665,0.0325427031037559,0.0217661700363684,0.1061889290195328,0.0674314407214815,0.1108944368741227,0.1828717932617856,0.1437470546227519,0.2611214831052173,0.2674793904288695,0.2580018628120601,0.4443956443325874,0.1881822246215669,0.133549387523395,0.1623239486014718,0.1431989440831031,0.0177255891893128,0.0249189845238788,0.1023125668748861,,0.0845312894817773,0.1155018450037115,0.1815978837670382,0.1514814820995642,0.2769885099767624,0.2632326787176353,0.2457439747846965,0.187318719079041,0.180622453411777,0.1950923298099329,0.124052057993353,,0.0260613914271754,0.014966229722658,0.2835470439771459,0.2808426744202617,0.2140379248105919,0.1548729270563384,0.1786608697559906,0.130391434919538,,,,,,,0.0221914631203858,0.0067700073849703,0.2528662652439877,0.2309427869588596,0.1157426580730938,0.1615790389708724,0.0978890910085592,,,,,,,,0.0141899988171072,0.0088901451315397,0.181305608560029,0.1171685474796166,0.1463744461759368,0.1216285915138595,0.0069473145245346,,0.084211240075696,,0.0115951301745838,0.0492752667002385,0.1523130309866047,0.1112939167233388,0.0955926023183089,0.1259255305159516,0.044729323619487,,,,,,,,,0.1895078045193585,0.0985099527087705,,,,,,,,0.1261061800129628,,,,,,,,,,,,,,,,,,,,,0.0027315695389482,0.0064922665796878,,,,,,,,,,,,0.0063505258045886,0.0142818665070922,0.0197314845468152,0.0276522417400375,0.0269524806560053,0.1162474953368217
H4K12ac,,,,,,,,,,,,,,,,0.2736701076967236,0.2767914594328964,0.2772707094495512,0.4590362260680507,0.2019041974791005,0.1378757764518763,0.1733303647871373,0.1552059611655067,0.0310507759307014,0.0431941744752872,0.1250508704456781,0.0212823346236064,0.0969383182072807,0.1324191533427789,0.190592254357945,0.1537294127810238,0.2791622250371475,0.2731943844645279,0.2563295465822701,0.1931120999330051,0.1655000009745162,0.1976528507814077,0.1362432427259534,0.0105538657803521,0.0348182589249361,0.0227324819315555,0.2941239278109187,0.2895974079385635,0.2133748070990044,0.1442395955568329,0.1803846430099547,0.1360828244045784,0.0036084227393491,,0.0090360683472408,,,,0.0285775048859342,0.0156155905819517,0.2742385913597545,0.2316963331298698,0.1162583421203873,0.1673783293375041,0.1171437797040546,0.0089027237359005,,0.0171116093937033,,,,,0.0268494120928064,0.0219381604404365,0.1875525287812323,0.1181620918531347,0.1582774282903578,0.1434721491062696,0.0206404547554743,0.0001065069072545,0.1021851498846651,,0.0218706168043318,0.0633958876642193,0.1490526256229358,0.1078173619854911,0.0933902315712522,0.1315736437007348,0.0581412764277757,,,,,,,,,0.1850440728709834,0.1030726705409197,,,,,,,,0.1310062584342741,,,,,,,,,,,,0.0110876959652692,0.0023679323167318,,,0.000539742516139,,,,,0.016129175560188,0.0204995508197001,,,,,,,,,,,,0.0180561733863076,0.0320940221565173,0.0376671754723574,0.041561768656722,0.0473836637535551,0.1170877124013483
H4K8ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3009229398547521,0.2837884331444371,0.2815357318185114,0.2052354957350299,0.1946119445908571,0.2319269686716882,0.1444884827195753,0.0012308237885942,0.0180007772602976,0.0126599782980338,0.2953788749696517,0.2889102309713127,0.2190914840453235,0.1590626560014865,0.2015560757293197,0.142316479135097,,,,,,,0.003611177718886,,0.2753994805632587,0.2508528122720399,0.1175630750182481,0.1780265957096229,0.1151183009679108,,,0.0032938657358343,,,,,0.0061460528134738,0.0089161985679773,0.18931689173173,0.1278090740707913,0.1764792283669134,0.1390172161993259,,0.0041490372597206,0.0934385028498514,,0.0268863004309594,0.0491476083827553,0.1385694383398679,0.1047622682071249,0.0950269834307118,0.1448169218745061,0.0582228520323369,,,,,,,,,0.2079775478007146,0.1049951232334294,,,,,,,,0.1406989976593742,,,,,,,,,,,,,,,,,,,,,0.0017039885206244,0.0072922428153727,,,,,,,,,,,,0.0434988469523354,0.0412232364767906,0.0425422599152263,0.0281035477075288,0.0391552350050652,0.1138602364797964
H3K4ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3457427178701096,0.1264055032608446,0.0814454723224997,0.0306678840780563,0.0413848353755668,0.0632457366458059,0.1858176153731996,0.0638743369626464,,,,,0.3850338657560517,0.2289626316588098,0.057450383591016,0.0803697403846648,,0.0213015560818607,0.0198287866232362,0.0467037707330924,0.1716183941107054,0.0711684550028959,,0.4241318530872,0.4818995493676681,0.2982150121766089,0.2018845126991664,0.0427842355260246,0.0797644751682895,,0.0245315865543549,0.0643766502320879,0.1864168116606599,0.0657472223559487,,,0.4075691852855989,0.258659959986165,0.0351140337134214,0.0191475868721706,,,,0.1796200000668886,0.034598954623803,,,0.1437016498820504,0.0242445015903527,0.0485343318276019,0.0664540528717108,0.0527943393120864,0.1838519386990427,0.0331463524641755,,0.2020724360376924,0.0893777405750544,0.0937185216125868,0.0447935370121577,,0.0463321661931974,0.0250282554366005,0.0424785592922418,,0.0949409847030793,0.1246190824442994,0.2025923390481132,0.054778638617595,,,0.0113775419786481,,,,,,,,,,,,,,,,,,,,,,,0.0298732153007783
H3K23ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4064959909927879,0.4527946210953981,0.2357549035670221,0.0789224142354712,0.0176300796810124,0.0712777345686248,0.0825156411855694,0.0627346231049266,0.164867111766064,0.0632479638418033,,0.4143151300534491,0.4634445823317143,0.3029628137651503,0.2755025004875548,0.1006229994561529,0.0595271191628885,0.0030058947390205,,0.0443829064397292,0.1572563374025772,0.0488641227678989,,,0.4168977729250738,0.4475219304605637,0.1756703153702865,0.0193935147978976,,0.002511839589367,0.0046218810928717,0.1335134964386277,0.0271789631892858,,0.4743637528284683,0.1148588691259018,0.0127103466089391,0.0088338809204735,0.0073398247326643,0.013398533208619,0.1430090533611281,0.0230583438538918,,0.1893978494063173,0.067011007660561,0.0629716794442458,,,0.0350230934854742,,0.0128293483671555,,0.0263247182251777,0.0685026928697407,0.1698888863781888,0.0464543949725104,,0.0141078755681487,0.0050121488056547,,,0.1140308944901509,,,,0.0067389971753133,,,,,,,,,,,,,,,,0.0215654175678743
H3K14ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3711901432366389,0.4370433744856292,0.2724598656740546,0.3203535119468697,0.1045520578507019,0.0772888616152602,0.0077863658946135,,0.0354021643934654,0.1648624827242404,0.0577070324002981,,,0.3614894226899849,,0.2492655648998241,0.0298193012416838,0.0538525287547333,0.0548591923260382,0.019390356024326,0.1668079157527824,0.0499843361381149,,0.3145239021702561,0.0370312405466624,,,,,0.0852615067613662,,0.3740912281230351,0.0677581183499356,,0.0375612509874621,,,0.0044162317458162,,,,,0.0136648808275623,0.130750373663929,0.032624179470007,,,,,,0.2538891990962106,,,,0.0335225340432749,,,,,,,,,,,,,,,,0.026188004021062
H2AK5ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3738192282647983,0.4243010202713257,0.2332135350259729,0.2556583636655638,0.0701570762991998,0.0071550660911814,,0.0048934529710873,,0.170377633429835,0.0339493051932677,0.4364616692341272,0.2529931713218243,0.0568807124007921,,,,,0.1183583687158371,0.0039932445980355,0.2896762873694083,0.1248603619502493,0.0131475107866894,0.0502112691711129,,,,,,,0.025042739691985,0.0359808385974673,0.140698226065977,0.0308217956866379,0.0007695934303058,,0.0218312715532817,,,0.0397250932081849,0.0155939470956329,0.0703350690964637,0.0349962524985425,0.0053544373654492,,,,,0.0067410585616247,,,,,,0.0018517414141303,0.0367064113980433,0.0355381856005898,0.0954066469302628,0.0526817112834354,0.1496569259728559
H3K18ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3699680449396538,0.0021650565785247,,,,,0.123127110350719,,0.4122200839557344,0.047206209730934,,0.0192555097620665,,,,,,,0.0050316031019495,,0.1460204488472936,0.0103757276544786,,,,,,0.1672933482179548,,,,0.0535063981714092,,,,,,,,,,,,,,,,0.0064558635883127
H3K9ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1835544135464424,0.0238658249356173,0.0697798801008318,0.005199811072817,0.0045310593735123,0.0445030733479505,0.0063206602104131,0.0129649943660492,0.0182926723225111,0.1036502190913815,0.1095009532450443,0.2196765609984226,0.0641429050223756,,,,,0.0122957322764865,,,,,,,,,,,,,,,,,,,,,
H3K56ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0470911851672735,0.0233295071683006,0.0372570975205892,0.009957099471622,0.0417044429528488,,,,,,,,,,,,,,,,0.0224888255511768,0.018547960152885,,,,0.0069400970243371
H3K4me3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0704989169823697,,,,,,,,,,,,,,,,
Htz1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1018738765349454,0.032380582440604,0.0336146183045134,0.0627993663026273,0.0427463809105592,0.0705457885497757
H3K79me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1011632098540324,,,,,
H3K4me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1029511480386187,0.0670458483284957,0.0322469364966888,0.0256567430125986,0.1454880685564124,0.0472146598939566,,,,,,,,,,0.0311726267682015
H4K20me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1228969826776626,0.0495395350629142,0.0541366725713174,0.0492565942714069,0.0122143694559806,0.060196717059016,0.0436007041736559,0.0313122949554074,0.0207119331664529,0.134506389645125
H3K36me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0539011100095319,,,,,,,
H3K79me3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3205888588832657,0.2393100347364782,0.2718024483558547
H3K36me3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2484096700030615
